Script started on Monday 20 October 2014 05:14:49 PM CDT
root@naveen-Inspiron-1525: /home/naveenroot@naveen-Inspiron-1525:/home/naveen# 
Welcome to the MySQL monitor.  Commands end with ; or \g.
Your MySQL connection id is 39
Server version: 5.5.34-0ubuntu0.13.04.1 (Ubuntu)

Copyright (c) 2000, 2013, Oracle and/or its affiliates. All rights reserved.

Oracle is a registered trademark of Oracle Corporation and/or its
affiliates. Other names may be trademarks of their respective
owners.

Type 'help;' or '\h' for help. Type '\c' to clear the current input statement.

mysql> 
mysql> show tables;
ERROR 1046 (3D000): No database selected
mysql> use soccerLeague2014;
+--------------------+
| Database           |
+--------------------+
| information_schema |
| mysql              |
| naveen             |
| performance_schema |
| soccerLeague2014   |
| test               |
+--------------------+
6 rows in set (0.00 sec)

mysql> use soccerLeague2014;
Reading table information for completion of table and column names
You can turn off this feature to get a quicker startup with -A

Database changed
mysql> show tables;
+----------------------------+
| Tables_in_soccerLeague2014 |
+----------------------------+
| Club                       |
| Fixtures                   |
| Fouls                      |
| Goals                      |
| LeaguePlayer               |
| LineUp                     |
| Manager                    |
| PastMatches                |
| PlayerMatchStats           |
| Referee                    |
| Seasons                    |
| Squad                      |
| SquadManager               |
| SquadPlayers               |
| Standings                  |
| Substitute                 |
| TeamMatchStats             |
+----------------------------+
17 rows in set (0.00 sec)

mysql> select * from Club;
+--------+---------------------+------------+------------------+------------------+------------------+----------+------------------+------------------+---------------------------------------+
| ClubId | ClubName            | Founded    | ClubOwner        | Chairman         | Nickname         | Mascot   | CurrentAwayColor | CurrentHomeColor | Stadium                               |
+--------+---------------------+------------+------------------+------------------+------------------+----------+------------------+------------------+---------------------------------------+
|      1 | Atletico de Kolkata | 2014-08-08 | Sourav Ganguly   | Sanjiv Goenka    | Sanjiv Goenka    | Lion     | Black            | Red              | Salt Lake Stadium                     |
|      2 | Chennaiyin          | 2014-08-03 | MS Dhoni         | A Bachchan       | A Bachchan       | Monster  | White            | Yellow           | Jawaharlal Nehru Stadium (Chennai)    |
|      3 | Delhi Dynamos       | 2014-07-31 | S.N. Sharma      | S.N. Sharma      | S.N. Sharma      | Plane    | Blue             | Green            | Jawaharlal Nehru Stadium (Delhi)      |
|      4 | Goa                 | 2014-08-04 | Virat Kohli      | Venugopal Dhoot  | Venugopal Dhoot  | Bull     | Green            | Brown            | Fatorda Stadium                       |
|      5 | Kerala Blasters     | 2014-08-15 | Sachin Tendulkar | Prasad V Potluri | Prasad V Potluri | Elephant | Red              | Black            | Jawaharlal Nehru Stadium (Kochi)      |
|      6 | Mumbai City         | 2014-08-01 | Ranbir Kapoor    | Bimal Parekh     | Bimal Parekh     | Train    | Brown            | White            | DY Patil Stadium                      |
|      7 | NorthEast United    | 2014-05-07 | John Abraham     | Shillong Lajong  | Shillong Lajong  | Stars    | Purpule          | Purpule          | Indira Gandhi Athletic Stadium        |
|      8 | Pune City           | 2014-08-21 | Hrithik Roshan   | Gaurav Modwel    | Gaurav Modwel    | Horse    | Yellow           | Blue             | Shree Shiv Chhatrapati Sports Complex |
+--------+---------------------+------------+------------------+------------------+------------------+----------+------------------+------------------+---------------------------------------+
8 rows in set (0.00 sec)

mysql> select * from Club;[1P;[1P;[1P;[1P;L;e;a;g;u;e;P;l;a;y;e;r;
+----------+-------------+-----------+------+-------------+------------+---------------+--------------+-----------+
| PlayerID | FirstName   | LastName  | Age  | Nationality | DebutDate  | CurrentClubID | TotalMatches | isRetired |
|       35 | KEITH       | SMITH     |   26 | Argnetina   | 2014-08-03 |             2 |            0 |         0 |
|       36 | JASON       | BAKER     |   21 | Brazil      | 2014-08-08 |             3 |            0 |         0 |
|       37 | BRIAN       | YOUNG     |   22 | Germany     | 2014-08-08 |             7 |            0 |         0 |
|       38 | GARY        | BAKER     |   33 | Uruguay     | 2014-05-07 |             7 |            0 |         0 |
|       39 | JUSTIN      | ROBINSON  |   32 | Netherlands | 2014-07-31 |             4 |            0 |         0 |
|       40 | ROY         | ROGERS    |   27 | Chile       | 2014-05-07 |             5 |            0 |         0 |
|       41 | KENNETH     | ANDERSON  |   33 | CostaRica   | 2014-08-15 |             6 |            0 |         0 |
|       42 | ERIC        | GOMEZ     |   32 | Netherlands | 2014-08-08 |             1 |            0 |         0 |
|       43 | BRIAN       | HILL      |   29 | Mexico      | 2014-07-31 |             3 |            0 |         0 |
|       44 | STEVEN      | NGUYEN    |   25 | Portugal    | 2014-08-03 |             4 |            0 |         0 |
|       45 | RAYMOND     | MILLER    |   21 | Uruguay     | 2014-08-08 |             7 |            0 |         0 |
|       46 | CHARLES     | STEWART   |   23 | Switzerland | 2014-08-15 |             2 |            0 |         0 |
|       47 | RAYMOND     | ROGERS    |   22 | Argnetina   | 2014-07-31 |             2 |            0 |         0 |
|       48 | RICHARD     | WRIGHT    |   27 | Uruguay     | 2014-07-31 |             2 |            0 |         0 |
|       49 | BRUCE       | JACKSON   |   33 | Portugal    | 2014-07-31 |             6 |            0 |         0 |
|       50 | CHRISTOPHER | ANDERSON  |   31 | Chile       | 2014-08-01 |             1 |            0 |         0 |
|       51 | JOSEPH      | MITCHELL  |   21 | USA         | 2014-05-07 |             7 |            0 |         0 |
|       52 | JOSHUA      | NGUYEN    |   22 | Spain       | 2014-08-04 |             3 |            0 |         0 |
|       53 | SCOTT       | HARRIS    |   28 | Croatia     | 2014-08-15 |             7 |            0 |         0 |
|       54 | SAMUEL      | CAMPBELL  |   24 | Colombia    | 2014-08-04 |             4 |            0 |         0 |
|       55 | BENJAMIN    | ANDERSON  |   33 | Mexico      | 2014-08-03 |             2 |            0 |         0 |
|       56 | KENNETH     | FLORES    |   28 | Greece      | 2014-05-07 |             4 |            0 |         0 |
|       57 | JOSEPH      | CLARK     |   24 | Netherlands | 2014-07-31 |             1 |            0 |         0 |
|       58 | JOSHUA      | KING      |   22 | Portugal    | 2014-08-01 |             7 |            0 |         0 |
|       59 | LARRY       | CLARK     |   24 | Germany     | 2014-07-31 |             7 |            0 |         0 |
|       60 | WILLIE      | CAMPBELL  |   22 | Brazil      | 2014-08-15 |             6 |            0 |         0 |
|       61 | DOUGLAS     | SANCHEZ   |   28 | Portugal    | 2014-08-03 |             1 |            0 |         0 |
|       62 | EDWARD      | ROBINSON  |   26 | England     | 2014-08-01 |             6 |            0 |         0 |
|       63 | LARRY       | MURPHY    |   29 | USA         | 2014-08-01 |             4 |            0 |         0 |
|       64 | ROY         | MARTINEZ  |   27 | Switzerland | 2014-08-08 |             4 |            0 |         0 |
|       65 | TERRY       | BROWN     |   30 | Switzerland | 2014-08-01 |             1 |            0 |         0 |
|       66 | SAMUEL      | MORGAN    |   23 | Netherlands | 2014-08-15 |             6 |            0 |         0 |
|       67 | CHRISTOPHER | MORRIS    |   28 | Germany     | 2014-08-15 |             5 |            0 |         0 |
|       68 | RYAN        | MOORE     |   24 | Belgium     | 2014-08-04 |             6 |            0 |         0 |
|       69 | NICHOLAS    | WILLIAMS  |   26 | Spain       | 2014-08-08 |             3 |            0 |         0 |
|       70 | JUAN        | HERNANDEZ |   33 | Germany     | 2014-05-07 |             4 |            0 |         0 |
|       71 | ERIC        | REED      |   27 | USA         | 2014-08-15 |             3 |            0 |         0 |
|       72 | RAYMOND     | ROBERTS   |   25 | Switzerland | 2014-05-07 |             3 |            0 |         0 |
|       73 | ERIC        | STEWART   |   33 | France      | 2014-08-15 |             4 |            0 |         0 |
|       74 | ERIC        | ANDERSON  |   30 | England     | 2014-05-07 |             3 |            0 |         0 |
|       75 | BRUCE       | ROBERTS   |   25 | Belgium     | 2014-05-07 |             4 |            0 |         0 |
|       76 | JUAN        | GONZALEZ  |   28 | Uruguay     | 2014-08-04 |             2 |            0 |         0 |
|       77 | CHARLES     | BAKER     |   29 | England     | 2014-08-15 |             3 |            0 |         0 |
|       78 | JERRY       | SANCHEZ   |   22 | Belgium     | 2014-05-07 |             7 |            0 |         0 |
|       79 | RALPH       | BAKER     |   30 | Netherlands | 2014-05-07 |             4 |            0 |         0 |
|       80 | RONALD      | SANCHEZ   |   33 | Switzerland | 2014-07-31 |             4 |            0 |         0 |
|       81 | KENNETH     | RIVERA    |   33 | CostaRica   | 2014-07-31 |             3 |            0 |         0 |
|       82 | JASON       | ROGERS    |   28 | Portugal    | 2014-08-04 |             4 |            0 |         0 |
|       83 | BRIAN       | HALL      |   32 | CostaRica   | 2014-08-01 |             6 |            0 |         0 |
|       84 | ALBERT      | WHITE     |   25 | Switzerland | 2014-08-01 |             7 |            0 |         0 |
|       85 | DOUGLAS     | MARTINEZ  |   27 | Brazil      | 2014-05-07 |             4 |            0 |         0 |
|       86 | GARY        | PETERSON  |   29 | USA         | 2014-08-08 |             4 |            0 |         0 |
|       87 | LAWRENCE    | WILLIAMS  |   33 | Greece      | 2014-08-15 |             6 |            0 |         0 |
|       88 | SAMUEL      | MURPHY    |   23 | Portugal    | 2014-08-04 |             6 |            0 |         0 |
|       89 | HAROLD      | PHILLIPS  |   28 | Belgium     | 2014-07-31 |             2 |            0 |         0 |
|       90 | DOUGLAS     | SANCHEZ   |   27 | Portugal    | 2014-08-03 |             5 |            0 |         0 |
|       91 | HENRY       | BROWN     |   32 | Netherlands | 2014-08-08 |             4 |            0 |         0 |
|       92 | JOSEPH      | EDWARDS   |   25 | Italy       | 2014-08-01 |             2 |            0 |         0 |
|       93 | MARK        | FLORES    |   23 | Spain       | 2014-05-07 |             2 |            0 |         0 |
|       94 | RICHARD     | JOHNSON   |   29 | Argnetina   | 2014-08-01 |             2 |            0 |         0 |
|       95 | MICHAEL     | JONES     |   30 | Croatia     | 2014-05-07 |             5 |            0 |         0 |
|       96 | LAWRENCE    | SCOTT     |   29 | Switzerland | 2014-08-08 |             3 |            0 |         0 |
|       97 | FRANK       | ROBERTS   |   27 | Portugal    | 2014-08-03 |             3 |            0 |         0 |
|       98 | PETER       | RAMIREZ   |   27 | Belgium     | 2014-08-04 |             4 |            0 |         0 |
|       99 | JAMES       | MILLER    |   24 | Germany     | 2014-07-31 |             3 |            0 |         0 |
|      100 | LAWRENCE    | MITCHELL  |   33 | Croatia     | 2014-08-03 |             1 |            0 |         0 |
|      101 | CHARLES     | BELL      |   27 | Portugal    | 2014-08-04 |             1 |            0 |         0 |
|      102 | TIMOTHY     | RAMIREZ   |   33 | Brazil      | 2014-08-04 |             1 |            0 |         0 |
|      103 | BRUCE       | CLARK     |   27 | Spain       | 2014-08-04 |             5 |            0 |         0 |
|      104 | LAWRENCE    | ADAMS     |   32 | CostaRica   | 2014-08-08 |             1 |            0 |         0 |
|      105 | JOE         | LOPEZ     |   21 | Germany     | 2014-08-03 |             6 |            0 |         0 |
|      106 | EDWARD      | ALLEN     |   21 | Uruguay     | 2014-08-04 |             4 |            0 |         0 |
|      107 | HENRY       | YOUNG     |   28 | USA         | 2014-07-31 |             5 |            0 |         0 |
|      108 | WILLIAM     | BAILEY    |   32 | USA         | 2014-08-01 |             1 |            0 |         0 |
|      109 | LAWRENCE    | CAMPBELL  |   33 | Switzerland | 2014-08-01 |             1 |            0 |         0 |
|      110 | GEORGE      | MORRIS    |   29 | Greece      | 2014-08-15 |             7 |            0 |         0 |
|      111 | KENNETH     | BAKER     |   29 | Greece      | 2014-05-07 |             6 |            0 |         0 |
|      112 | TIMOTHY     | ROGERS    |   33 | Uruguay     | 2014-08-01 |             5 |            0 |         0 |
|      113 | JOHN        | SMITH     |   24 | Greece      | 2014-08-08 |             2 |            0 |         0 |
|      114 | ALBERT      | BELL      |   32 | Argnetina   | 2014-08-04 |             3 |            0 |         0 |
|      115 | JUAN        | CAMPBELL  |   24 | Spain       | 2014-08-15 |             6 |            0 |         0 |
|      116 | DOUGLAS     | HARRIS    |   28 | Brazil      | 2014-08-08 |             4 |            0 |         0 |
|      117 | DAVID       | ROBERTS   |   30 | Colombia    | 2014-05-07 |             3 |            0 |         0 |
|      118 | ROBERT      | WRIGHT    |   30 | Belgium     | 2014-08-01 |             4 |            0 |         0 |
|      119 | DOUGLAS     | EVANS     |   21 | Germany     | 2014-08-03 |             6 |            0 |         0 |
|      120 | KEVIN       | THOMPSON  |   33 | Argnetina   | 2014-08-15 |             6 |            0 |         0 |
|      121 | ANTHONY     | TORRES    |   28 | Belgium     | 2014-05-07 |             4 |            0 |         0 |
|      122 | MARK        | LEWIS     |   25 | USA         | 2014-08-04 |             5 |            0 |         0 |
|      123 | NICHOLAS    | CARTER    |   24 | Switzerland | 2014-07-31 |             4 |            0 |         0 |
|      124 | ERIC        | LOPEZ     |   27 | England     | 2014-05-07 |             1 |            0 |         0 |
|      125 | FRANK       | HALL      |   22 | USA         | 2014-07-31 |             7 |            0 |         0 |
|      126 | JOSEPH      | COLLINS   |   23 | CostaRica   | 2014-08-15 |             1 |            0 |         0 |
|      127 | KEVIN       | RAMIREZ   |   22 | Germany     | 2014-08-01 |             3 |            0 |         0 |
|      128 | WILLIAM     | YOUNG     |   31 | Netherlands | 2014-08-01 |             1 |            0 |         0 |
|      129 | NICHOLAS    | NELSON    |   26 | Brazil      | 2014-08-01 |             2 |            0 |         0 |
|      130 | JUSTIN      | MARTIN    |   23 | Uruguay     | 2014-08-15 |             2 |            0 |         0 |
|      131 | JERRY       | MORGAN    |   23 | Netherlands | 2014-08-03 |             5 |            0 |         0 |
|      132 | DOUGLAS     | REED      |   27 | Colombia    | 2014-08-15 |             7 |            0 |         0 |
|      133 | BENJAMIN    | TAYLOR    |   21 | England     | 2014-08-03 |             3 |            0 |         0 |
|      134 | RONALD      | LEE       |   33 | Argnetina   | 2014-05-07 |             5 |            0 |         0 |
|      135 | GERALD      | MORRIS    |   33 | Uruguay     | 2014-08-04 |             6 |            0 |         0 |
|      136 | BENJAMIN    | LEWIS     |   27 | USA         | 2014-07-31 |             7 |            0 |         0 |
|      137 | WILLIE      | HARRIS    |   23 | Germany     | 2014-08-01 |             1 |            0 |         0 |
|      138 | STEPHEN     | KING      |   26 | Netherlands | 2014-08-01 |             4 |            0 |         0 |
|      139 | ANDREW      | WALKER    |   30 | Brazil      | 2014-08-03 |             7 |            0 |         0 |
|      140 | ROBERT      | PHILLIPS  |   30 | England     | 2014-08-01 |             2 |            0 |         0 |
|      141 | ERIC        | ALLEN     |   26 | Germany     | 2014-05-07 |             5 |            0 |         0 |
|      142 | KEITH       | MILLER    |   22 | Germany     | 2014-08-03 |             2 |            0 |         0 |
|      143 | PAUL        | LOPEZ     |   32 | Switzerland | 2014-08-04 |             4 |            0 |         0 |
|      144 | WILLIAM     | YOUNG     |   26 | Spain       | 2014-07-31 |             1 |            0 |         0 |
|      145 | CHRISTOPHER | WALKER    |   25 | Germany     | 2014-08-08 |             4 |            0 |         0 |
|      146 | ROGER       | GARCIA    |   31 | England     | 2014-08-08 |             6 |            0 |         0 |
|      147 | RONALD      | YOUNG     |   22 | Uruguay     | 2014-08-03 |             2 |            0 |         0 |
|      148 | RONALD      | MORGAN    |   31 | Germany     | 2014-08-01 |             3 |            0 |         0 |
|      149 | GARY        | REED      |   31 | France      | 2014-08-03 |             7 |            0 |         0 |
|      150 | STEVEN      | ROGERS    |   23 | Uruguay     | 2014-05-07 |             1 |            0 |         0 |
|      151 | JOSE        | ALLEN     |   30 | Netherlands | 2014-05-07 |             4 |            0 |         0 |
|      152 | PATRICK     | GREEN     |   30 | Netherlands | 2014-08-04 |             5 |            0 |         0 |
|      153 | BRUCE       | WILSON    |   25 | Belgium     | 2014-08-15 |             5 |            0 |         0 |
|      154 | SAMUEL      | PARKER    |   30 | Mexico      | 2014-08-01 |             7 |            0 |         0 |
|      155 | KEVIN       | MORGAN    |   32 | Uruguay     | 2014-08-01 |             5 |            0 |         0 |
|      156 | JACK        | YOUNG     |   28 | Spain       | 2014-08-08 |             7 |            0 |         0 |
|      157 | ROBERT      | RAMIREZ   |   29 | USA         | 2014-08-08 |             5 |            0 |         0 |
|      158 | RALPH       | CARTER    |   21 | Croatia     | 2014-08-03 |             5 |            0 |         0 |
|      159 | BRANDON     | HALL      |   31 | Uruguay     | 2014-08-01 |             2 |            0 |         0 |
|      160 | FRANK       | GARCIA    |   27 | Italy       | 2014-08-01 |             1 |            0 |         0 |
|      161 | CHARLES     | TORRES    |   29 | Italy       | 2014-07-31 |             4 |            0 |         0 |
|      162 | DONALD      | GARCIA    |   27 | Colombia    | 2014-05-07 |             5 |            0 |         0 |
|      163 | ANDREW      | EDWARDS   |   27 | Brazil      | 2014-08-04 |             3 |            0 |         0 |
|      164 | LAWRENCE    | MITCHELL  |   32 | England     | 2014-08-01 |             1 |            0 |         0 |
|      165 | JUSTIN      | WRIGHT    |   27 | Belgium     | 2014-08-03 |             7 |            0 |         0 |
|      166 | ROY         | ROBERTS   |   24 | Netherlands | 2014-07-31 |             7 |            0 |         0 |
|      167 | DAVID       | TURNER    |   27 | Belgium     | 2014-05-07 |             6 |            0 |         0 |
|      168 | RONALD      | DAVIS     |   25 | Croatia     | 2014-08-03 |             1 |            0 |         0 |
|      169 | ROGER       | NELSON    |   32 | England     | 2014-05-07 |             7 |            0 |         0 |
|      170 | BRANDON     | TORRES    |   26 | Spain       | 2014-08-01 |             1 |            0 |         0 |
|      171 | WILLIAM     | PARKER    |   28 | Argnetina   | 2014-07-31 |             3 |            0 |         0 |
|      172 | PAUL        | ROGERS    |   29 | Germany     | 2014-08-08 |             5 |            0 |         0 |
|      173 | DONALD      | HALL      |   30 | Chile       | 2014-08-03 |             4 |            0 |         0 |
|      174 | JAMES       | MORRIS    |   22 | Netherlands | 2014-08-04 |             3 |            0 |         0 |
|      175 | LAWRENCE    | HALL      |   28 | Portugal    | 2014-08-01 |             6 |            0 |         0 |
|      176 | LAWRENCE    | WILSON    |   26 | CostaRica   | 2014-08-01 |             3 |            0 |         0 |
|      177 | DAVID       | DAVIS     |   27 | Chile       | 2014-08-03 |             1 |            0 |         0 |
|      178 | BRIAN       | EDWARDS   |   25 | Switzerland | 2014-08-15 |             3 |            0 |         0 |
|      179 | FRANK       | SANCHEZ   |   29 | Colombia    | 2014-08-15 |             6 |            0 |         0 |
|      180 | MATTHEW     | BAILEY    |   27 | Uruguay     | 2014-08-08 |             4 |            0 |         0 |
|      181 | PATRICK     | TAYLOR    |   30 | Netherlands | 2014-05-07 |             5 |            0 |         0 |
|      182 | EDWARD      | WALKER    |   30 | Netherlands | 2014-08-04 |             1 |            0 |         0 |
|      183 | RONALD      | PHILLIPS  |   29 | Mexico      | 2014-08-15 |             1 |            0 |         0 |
|      184 | ROY         | TAYLOR    |   28 | Greece      | 2014-07-31 |             2 |            0 |         0 |
|      185 | RAYMOND     | DAVIS     |   33 | Argnetina   | 2014-07-31 |             2 |            0 |         0 |
|      186 | DOUGLAS     | WALKER    |   31 | Italy       | 2014-08-15 |             2 |            0 |         0 |
|      187 | BRIAN       | CLARK     |   22 | Uruguay     | 2014-08-04 |             2 |            0 |         0 |
|      188 | TERRY       | WILSON    |   32 | England     | 2014-08-04 |             7 |            0 |         0 |
|      189 | JEFFREY     | HALL      |   32 | Mexico      | 2014-07-31 |             3 |            0 |         0 |
|      190 | JASON       | ANDERSON  |   31 | Brazil      | 2014-08-08 |             2 |            0 |         0 |
|      191 | THOMAS      | ALLEN     |   32 | England     | 2014-08-01 |             7 |            0 |         0 |
|      192 | JOSEPH      | MURPHY    |   26 | USA         | 2014-08-01 |             6 |            0 |         0 |
|      193 | ANDREW      | THOMAS    |   32 | Belgium     | 2014-05-07 |             5 |            0 |         0 |
|      194 | MATTHEW     | TORRES    |   26 | France      | 2014-08-08 |             1 |            0 |         0 |
|      195 | KEVIN       | STEWART   |   26 | Portugal    | 2014-05-07 |             5 |            0 |         0 |
|      196 | WILLIE      | REED      |   25 | Italy       | 2014-08-01 |             5 |            0 |         0 |
|      197 | ARTHUR      | SANCHEZ   |   25 | Uruguay     | 2014-08-04 |             4 |            0 |         0 |
|      198 | RICHARD     | SCOTT     |   21 | USA         | 2014-05-07 |             3 |            0 |         0 |
|      199 | LAWRENCE    | PEREZ     |   28 | Argnetina   | 2014-08-15 |             7 |            0 |         0 |
|      200 | ERIC        | LEWIS     |   33 | Mexico      | 2014-08-01 |             1 |            0 |         0 |
|      201 | JACK        | TAYLOR    |   25 | Portugal    | 2014-08-08 |             6 |            0 |         0 |
|      202 | SCOTT       | WHITE     |   32 | Chile       | 2014-08-15 |             7 |            0 |         0 |
|      203 | JUSTIN      | MARTIN    |   24 | Germany     | 2014-08-08 |             4 |            0 |         0 |
|      204 | ROBERT      | HILL      |   23 | Germany     | 2014-08-04 |             4 |            0 |         0 |
|      205 | JERRY       | GREEN     |   31 | Portugal    | 2014-05-07 |             2 |            0 |         0 |
|      206 | JASON       | BAILEY    |   33 | USA         | 2014-08-15 |             1 |            0 |         0 |
|      207 | TERRY       | TAYLOR    |   23 | Colombia    | 2014-08-15 |             2 |            0 |         0 |
